protocol,arm,model,seed,mAP,path
ias_b,baseline,transformer,42,27.0176,isr_transfer_pilot_20260805/ias_b_transformer_42/result.json
ias_b,baseline,gru,123,23.4647,transg_official_ias_confirm_20260808/ias_b/gru/seed123/result.json
ias_b,baseline,transformer,123,27.9940,isr_transfer_pilot_20260805/ias_b_transformer_123/result.json
ias_b,baseline,gru,2026,22.9847,transg_official_ias_confirm_20260808/ias_b/gru/seed2026/result.json
ias_b,baseline,transformer,2026,26.7558,isr_transfer_pilot_20260805/ias_b_transformer_2026/result.json
ias_b,baseline,gru,2027,22.8273,ias_b/gru/seed2027/result.json
ias_b,baseline,transformer,2027,27.8252,ias_b/transformer/seed2027/result.json
ias_b,baseline,gru,2028,22.9844,ias_b/gru/seed2028/result.json
ias_b,baseline,transformer,2028,28.3318,ias_b/transformer/seed2028/result.json
ias_b,absolute,isrgru,42,23.0953,isrgru_pos_fix_20260808/ias_b/isrgru/seed42/result.json
ias_b,absolute,isr_transformer,42,27.6348,isr_transfer_pilot_20260805/ias_b_isr_transformer_42/result.json
ias_b,absolute,isrgru,123,23.0597,isrgru_pos_fix_20260808/ias_b/isrgru/seed123/result.json
ias_b,absolute,isr_transformer,123,27.3892,isr_transfer_pilot_20260805/ias_b_isr_transformer_123/result.json
ias_b,absolute,isrgru,2026,23.1788,isrgru_pos_fix_20260808/ias_b/isrgru/seed2026/result.json
ias_b,absolute,isr_transformer,2026,27.2380,isr_transfer_pilot_20260805/ias_b_isr_transformer_2026/result.json
ias_b,absolute,isrgru,2027,23.4720,ias_b/isrgru/seed2027/result.json
ias_b,absolute,isr_transformer,2027,27.6184,ias_b/isr_transformer/seed2027/result.json
ias_b,absolute,isrgru,2028,23.3765,ias_b/isrgru/seed2028/result.json
ias_b,absolute,isr_transformer,2028,28.8128,ias_b/isr_transformer/seed2028/result.json
ias_b,normalized,isrgru_norm,42,22.8581,ias_b/isrgru_norm/seed42/result.json
ias_b,normalized,isr_transformer_norm,42,27.2703,ias_b/isr_transformer_norm/seed42/result.json
ias_b,normalized,isrgru_norm,123,22.6198,ias_b/isrgru_norm/seed123/result.json
ias_b,normalized,isr_transformer_norm,123,27.0485,ias_b/isr_transformer_norm/seed123/result.json
ias_b,normalized,isrgru_norm,2026,22.9230,ias_b/isrgru_norm/seed2026/result.json
ias_b,normalized,isr_transformer_norm,2026,26.6390,ias_b/isr_transformer_norm/seed2026/result.json
ias_b,normalized,isrgru_norm,2027,23.0833,ias_b/isrgru_norm/seed2027/result.json
ias_b,normalized,isr_transformer_norm,2027,27.8617,ias_b/isr_transformer_norm/seed2027/result.json
ias_b,normalized,isrgru_norm,2028,23.2034,ias_b/isrgru_norm/seed2028/result.json
ias_b,normalized,isr_transformer_norm,2028,28.6708,ias_b/isr_transformer_norm/seed2028/result.json
ias_b,norm_matched,isrgru_normmatch,42,22.6027,ias_b/isrgru_normmatch/seed42/result.json
ias_b,norm_matched,isr_transformer_normmatch,42,27.5556,ias_b/isr_transformer_normmatch/seed42/result.json
ias_b,norm_matched,isrgru_normmatch,123,23.1420,ias_b/isrgru_normmatch/seed123/result.json
ias_b,norm_matched,isr_transformer_normmatch,123,27.2519,ias_b/isr_transformer_normmatch/seed123/result.json
ias_b,norm_matched,isrgru_normmatch,2026,23.0849,ias_b/isrgru_normmatch/seed2026/result.json
ias_b,norm_matched,isr_transformer_normmatch,2026,27.5467,ias_b/isr_transformer_normmatch/seed2026/result.json
ias_b,norm_matched,isrgru_normmatch,2027,22.8506,ias_b/isrgru_normmatch/seed2027/result.json
ias_b,norm_matched,isr_transformer_normmatch,2027,26.7702,ias_b/isr_transformer_normmatch/seed2027/result.json
ias_b,norm_matched,isrgru_normmatch,2028,23.7042,ias_b/isrgru_normmatch/seed2028/result.json
ias_b,norm_matched,isr_transformer_normmatch,2028,28.0006,ias_b/isr_transformer_normmatch/seed2028/result.json
ias_b,random_matched,isrgru_randommatch,42,22.7122,ias_b/isrgru_randommatch/seed42/result.json
ias_b,random_matched,isr_transformer_randommatch,42,27.6249,ias_b/isr_transformer_randommatch/seed42/result.json
ias_b,random_matched,isrgru_randommatch,123,22.5700,ias_b/isrgru_randommatch/seed123/result.json
ias_b,random_matched,isr_transformer_randommatch,123,27.0321,ias_b/isr_transformer_randommatch/seed123/result.json
ias_b,random_matched,isrgru_randommatch,2026,22.8715,ias_b/isrgru_randommatch/seed2026/result.json
ias_b,random_matched,isr_transformer_randommatch,2026,26.3869,ias_b/isr_transformer_randommatch/seed2026/result.json
ias_b,random_matched,isrgru_randommatch,2027,23.0259,ias_b/isrgru_randommatch/seed2027/result.json
ias_b,random_matched,isr_transformer_randommatch,2027,27.4922,ias_b/isr_transformer_randommatch/seed2027/result.json
ias_b,random_matched,isrgru_randommatch,2028,23.0907,ias_b/isrgru_randommatch/seed2028/result.json
ias_b,random_matched,isr_transformer_randommatch,2028,28.4707,ias_b/isr_transformer_randommatch/seed2028/result.json
kgbd,baseline,gru,42,16.2623,transg_official_kgbd_confirm_20260808/gru/seed42/result.json
kgbd,baseline,transformer,42,23.1317,isr_transfer_pilot_20260805/transformer_42/result.json
kgbd,baseline,gru,123,16.3268,transg_official_kgbd_confirm_20260808/gru/seed123/result.json
kgbd,baseline,transformer,123,23.2588,isr_transfer_pilot_20260805/transformer_123/result.json
kgbd,baseline,gru,2026,16.4788,transg_official_kgbd_confirm_20260808/gru/seed2026/result.json
kgbd,baseline,transformer,2026,23.3350,isr_transfer_pilot_20260805/transformer_2026/result.json
kgbd,baseline,gru,2027,15.8987,kgbd/gru/seed2027/result.json
kgbd,baseline,transformer,2027,23.0072,kgbd/transformer/seed2027/result.json
kgbd,baseline,gru,2028,15.7088,kgbd/gru/seed2028/result.json
kgbd,baseline,transformer,2028,23.4956,kgbd/transformer/seed2028/result.json
kgbd,absolute,isrgru,42,17.1147,isrgru_pos_fix_20260808/kgbd/isrgru/seed42/result.json
kgbd,absolute,isr_transformer,42,24.6321,isr_transfer_pilot_20260805/isr_transformer_42/result.json
kgbd,absolute,isrgru,123,17.1651,isrgru_pos_fix_20260808/kgbd/isrgru/seed123/result.json
kgbd,absolute,isr_transformer,123,24.1479,isr_transfer_pilot_20260805/isr_transformer_123/result.json
kgbd,absolute,isrgru,2026,16.7753,isrgru_pos_fix_20260808/kgbd/isrgru/seed2026/result.json
kgbd,absolute,isr_transformer,2026,24.0599,isr_transfer_pilot_20260805/isr_transformer_2026/result.json
kgbd,absolute,isrgru,2027,16.7347,kgbd/isrgru/seed2027/result.json
kgbd,absolute,isr_transformer,2027,23.2378,kgbd/isr_transformer/seed2027/result.json
kgbd,absolute,isrgru,2028,16.8312,kgbd/isrgru/seed2028/result.json
kgbd,absolute,isr_transformer,2028,23.4336,kgbd/isr_transformer/seed2028/result.json
kgbd,normalized,isrgru_norm,42,16.3161,kgbd/isrgru_norm/seed42/result.json
kgbd,normalized,isr_transformer_norm,42,23.3695,kgbd/isr_transformer_norm/seed42/result.json
kgbd,normalized,isrgru_norm,123,16.2977,kgbd/isrgru_norm/seed123/result.json
kgbd,normalized,isr_transformer_norm,123,23.3704,kgbd/isr_transformer_norm/seed123/result.json
kgbd,normalized,isrgru_norm,2026,15.9734,kgbd/isrgru_norm/seed2026/result.json
kgbd,normalized,isr_transformer_norm,2026,23.3355,kgbd/isr_transformer_norm/seed2026/result.json
kgbd,normalized,isrgru_norm,2027,15.8883,kgbd/isrgru_norm/seed2027/result.json
kgbd,normalized,isr_transformer_norm,2027,22.2981,kgbd/isr_transformer_norm/seed2027/result.json
kgbd,normalized,isrgru_norm,2028,16.2070,kgbd/isrgru_norm/seed2028/result.json
kgbd,normalized,isr_transformer_norm,2028,22.5752,kgbd/isr_transformer_norm/seed2028/result.json
kgbd,norm_matched,isrgru_normmatch,42,16.5750,kgbd/isrgru_normmatch/seed42/result.json
kgbd,norm_matched,isr_transformer_normmatch,42,23.1911,kgbd/isr_transformer_normmatch/seed42/result.json
kgbd,norm_matched,isrgru_normmatch,123,16.2489,kgbd/isrgru_normmatch/seed123/result.json
kgbd,norm_matched,isr_transformer_normmatch,123,22.9201,kgbd/isr_transformer_normmatch/seed123/result.json
kgbd,norm_matched,isrgru_normmatch,2026,15.9361,kgbd/isrgru_normmatch/seed2026/result.json
kgbd,norm_matched,isr_transformer_normmatch,2026,22.7291,kgbd/isr_transformer_normmatch/seed2026/result.json
kgbd,norm_matched,isrgru_normmatch,2027,15.9874,kgbd/isrgru_normmatch/seed2027/result.json
kgbd,norm_matched,isr_transformer_normmatch,2027,22.7232,kgbd/isr_transformer_normmatch/seed2027/result.json
kgbd,norm_matched,isrgru_normmatch,2028,15.6695,kgbd/isrgru_normmatch/seed2028/result.json
kgbd,norm_matched,isr_transformer_normmatch,2028,22.5416,kgbd/isr_transformer_normmatch/seed2028/result.json
kgbd,random_matched,isrgru_randommatch,42,16.1578,kgbd/isrgru_randommatch/seed42/result.json
kgbd,random_matched,isr_transformer_randommatch,42,23.3349,kgbd/isr_transformer_randommatch/seed42/result.json
kgbd,random_matched,isrgru_randommatch,123,16.0560,kgbd/isrgru_randommatch/seed123/result.json
kgbd,random_matched,isr_transformer_randommatch,123,23.2984,kgbd/isr_transformer_randommatch/seed123/result.json
kgbd,random_matched,isrgru_randommatch,2026,15.7640,kgbd/isrgru_randommatch/seed2026/result.json
kgbd,random_matched,isr_transformer_randommatch,2026,23.3310,kgbd/isr_transformer_randommatch/seed2026/result.json
kgbd,random_matched,isrgru_randommatch,2027,15.6823,kgbd/isrgru_randommatch/seed2027/result.json
kgbd,random_matched,isr_transformer_randommatch,2027,22.2142,kgbd/isr_transformer_randommatch/seed2027/result.json
kgbd,random_matched,isrgru_randommatch,2028,15.9808,kgbd/isrgru_randommatch/seed2028/result.json
kgbd,random_matched,isr_transformer_randommatch,2028,22.5233,kgbd/isr_transformer_randommatch/seed2028/result.json
kgbd_dedup,baseline,gru,42,16.1786,kgbd_dedup_20260806/confirm_train_removal/gru_42/result.json
kgbd_dedup,baseline,transformer,42,22.8517,kgbd_dedup_20260806/confirm_train_removal/transformer_42/result.json
kgbd_dedup,baseline,gru,123,16.2830,kgbd_dedup_20260806/confirm_train_removal/gru_123/result.json
kgbd_dedup,baseline,transformer,123,23.0870,kgbd_dedup_20260806/confirm_train_removal/transformer_123/result.json
kgbd_dedup,baseline,gru,2026,16.3622,kgbd_dedup_20260806/confirm_train_removal/gru_2026/result.json
kgbd_dedup,baseline,transformer,2026,23.1686,kgbd_dedup_20260806/confirm_train_removal/transformer_2026/result.json
kgbd_dedup,baseline,gru,2027,15.7926,kgbd_dedup/gru/seed2027/result.json
kgbd_dedup,baseline,transformer,2027,22.9194,kgbd_dedup/transformer/seed2027/result.json
kgbd_dedup,baseline,gru,2028,15.6516,kgbd_dedup/gru/seed2028/result.json
kgbd_dedup,baseline,transformer,2028,23.2698,kgbd_dedup/transformer/seed2028/result.json
kgbd_dedup,absolute,isrgru,42,16.9960,isrgru_pos_fix_20260808/kgbd_dedup/isrgru/seed42/result.json
kgbd_dedup,absolute,isr_transformer,42,24.4084,kgbd_dedup_20260806/confirm_train_removal/isr_transformer_42/result.json
kgbd_dedup,absolute,isrgru,123,17.0897,isrgru_pos_fix_20260808/kgbd_dedup/isrgru/seed123/result.json
kgbd_dedup,absolute,isr_transformer,123,24.1179,kgbd_dedup_20260806/confirm_train_removal/isr_transformer_123/result.json
kgbd_dedup,absolute,isrgru,2026,16.6308,isrgru_pos_fix_20260808/kgbd_dedup/isrgru/seed2026/result.json
kgbd_dedup,absolute,isr_transformer,2026,23.8492,kgbd_dedup_20260806/confirm_train_removal/isr_transformer_2026/result.json
kgbd_dedup,absolute,isrgru,2027,16.6767,kgbd_dedup/isrgru/seed2027/result.json
